case_id,fen,source,source_kind,category,game_index,ply,played_move
suite_0018,r1bqk2r/pp3ppp/2nbpn2/8/4P3/1N4P1/PP3PBP/RNBQ1RK1 w kq - 0 1,training/data/test_fens_60.txt,fen_suite,high_material_24_32+capture_available,,,
validation_0132,6k1/R2b2p1/5n1p/2pp4/6P1/4KP1P/8/8 w - -,training/data/samples/lichess_validation_250k.csv,validation_sample,late_11_16+capture_available,,,
pgn_nn_vs_stockfish_2000_g1_p93,8/8/p7/3k1p2/3p1BPP/8/5PK1/1q6 w - - 0 47,/home/rohanhs568/code/aichessathon-starter/nn_vs_stockfish_2000.pgn,pgn,endgame_2_10+capture_available,1,93,g4g5
pgn_nn_vs_material_g11_p19,rnbqkbr1/p1pppppp/1p5n/1N1PP3/8/5N1P/PPP1QPP1/R1B1KB1R w KQq - 0 10,/home/rohanhs568/code/aichessathon-starter/nn_vs_material.pgn,pgn,high_material_24_32+capture_available,11,19,f3g5
pgn_nn_vs_material_g12_p24,2kr1b1r/ppp2ppp/2n5/3p1b2/4p2q/6P1/PPPPPK1P/RNBQ1BNR b - - 0 12,/home/rohanhs568/code/aichessathon-starter/nn_vs_material.pgn,pgn,high_material_24_32+capture_available,12,24,f8c5
validation_0076,8/4k3/4P3/4K3/4R3/8/8/3r4 b - -,training/data/samples/lichess_validation_250k.csv,validation_sample,endgame_2_10+quiet,,,
validation_0355,r2r2k1/2qpbpp1/ppn1pn1p/8/2P1P3/1PN3P1/PB1Q1PNP/2R2RK1 w - -,training/data/samples/lichess_validation_250k.csv,validation_sample,high_material_24_32+capture_available,,,
validation_0350,4rr1k/7p/pq1p1p2/2p1nPpN/1p6/3P1Q2/PPP3PP/4RRK1 w - -,training/data/samples/lichess_validation_250k.csv,validation_sample,high_material_24_32+capture_available,,,
validation_0250,5rk1/pqp2ppp/1r6/8/5Q2/1PP5/P4PK1/R1B2R2 w - -,training/data/samples/lichess_validation_250k.csv,validation_sample,middle_17_23+in_check,,,
pgn_nn_vs_material_g14_p62,3rr3/1k3p1R/1pb5/8/6nP/N1P3K1/PP2P2P/R7 b - - 7 31,/home/rohanhs568/code/aichessathon-starter/nn_vs_material.pgn,pgn,middle_17_23+capture_available,14,62,e8e4
validation_0010,K2B4/3R4/2k5/8/8/8/8/5q1r w - -,training/data/samples/lichess_validation_250k.csv,validation_sample,endgame_2_10+quiet,,,
validation_0014,3n1k2/3r3p/p7/4K3/2p5/8/P6P/8 w - -,training/data/samples/lichess_validation_250k.csv,validation_sample,endgame_2_10+quiet,,,
validation_0159,8/1k4p1/4R3/P4p2/KP3Pp1/3r2P1/8/8 b - -,training/data/samples/lichess_validation_250k.csv,validation_sample,late_11_16+capture_available,,,
validation_0248,N2k2nr/pQ4pp/3b2n1/8/3p4/8/PPP3PP/R1B2RK1 w - -,training/data/samples/lichess_validation_250k.csv,validation_sample,middle_17_23+capture_available,,,
validation_0234,8/p4rk1/p1p1n2p/2PpP1p1/3P2P1/2P4P/6K1/1R2B3 w - -,training/data/samples/lichess_validation_250k.csv,validation_sample,middle_17_23+quiet,,,
suite_0054,5k2/7R/5p2/p7/5P2/1P3K1P/r7/8 b - - 0 1,training/data/test_fens_60.txt,fen_suite,endgame_2_10+quiet,,,
validation_0122,3Q4/pp3pk1/8/1Kp1P3/P1PNn3/5P2/7P/1q6 w - -,training/data/samples/lichess_validation_250k.csv,validation_sample,late_11_16+in_check,,,
validation_0055,8/6p1/6k1/6P1/3R4/6K1/4b3/8 w - -,training/data/samples/lichess_validation_250k.csv,validation_sample,endgame_2_10+quiet,,,
validation_0037,2b5/8/6k1/4b1B1/4P3/1B3K2/5N2/8 w - -,training/data/samples/lichess_validation_250k.csv,validation_sample,endgame_2_10+quiet,,,
validation_0274,r1b1k2r/1p2b1p1/p1q1p2p/6P1/4p3/5B1Q/P1PB3P/1R2K2R w Kkq -,training/data/samples/lichess_validation_250k.csv,validation_sample,middle_17_23+capture_rich,,,
validation_0057,8/8/6K1/8/5PP1/2k5/3r3P/8 b - -,training/data/samples/lichess_validation_250k.csv,validation_sample,endgame_2_10+capture_available,,,
validation_0354,1rbq1rk1/1p2ppbp/p1np1np1/2p5/P3P2N/2NP2PP/1PP2PB1/R1BQ1RK1 b - -,training/data/samples/lichess_validation_250k.csv,validation_sample,high_material_24_32+capture_available,,,
validation_0306,3r1rk1/pb1qbppp/1pn1p2n/2p5/4PP2/1P3NP1/PB1PN1BP/2RQR1K1 b - -,training/data/samples/lichess_validation_250k.csv,validation_sample,high_material_24_32+capture_available,,,
pgn_v1_1_vs_v1_g2_p58,8/pR3p2/r5k1/8/P7/1P4K1/2b3P1/8 w - - 6 30,/home/rohanhs568/code/aichessathon-starter/v1_1_vs_v1.pgn,pgn,endgame_2_10+capture_available,2,58,a4a5
validation_0105,8/1p4r1/3p3p/p1p1k3/P2p2pN/1P1P4/4R3/3K4 b - -,training/data/samples/lichess_validation_250k.csv,validation_sample,late_11_16+in_check,,,
validation_0344,r1bqkb1r/pp1ppp1p/6pB/2p5/2B1PQn1/3P4/PPP2PPP/RN2K1NR b KQkq -,training/data/samples/lichess_validation_250k.csv,validation_sample,high_material_24_32+capture_rich,,,
validation_0356,r1bqk1nr/pp2bppp/2n1p3/2pp4/4PP2/3P2P1/PPP1N1BP/RNBQK2R b KQkq -,training/data/samples/lichess_validation_250k.csv,validation_sample,high_material_24_32+capture_available,,,
validation_0389,2kr3r/pppqbpp1/4b3/n2np2p/8/PPN1P1PP/1B1PNPB1/R2QK2R w KQ -,training/data/samples/lichess_validation_250k.csv,validation_sample,high_material_24_32+capture_available,,,
pgn_nn_vs_material_g8_p32,2kr2r1/ppp1bpp1/2n5/5b1p/6nq/2N1P1PN/PPPBP2P/R1Q1KB1R b KQ - 1 16,/home/rohanhs568/code/aichessathon-starter/nn_vs_material.pgn,pgn,high_material_24_32+capture_rich,8,32,c6b4
validation_0196,8/pp2k3/8/2P2ppp/1P2p3/PR2K1PP/2r2P2/8 b - -,training/data/samples/lichess_validation_250k.csv,validation_sample,late_11_16+capture_available,,,
pgn_nn_vs_stockfish_2000_g2_p80,6k1/p7/1p3p1p/1P5P/P7/2brBN2/4RKP1/8 b - - 7 40,/home/rohanhs568/code/aichessathon-starter/nn_vs_stockfish_2000.pgn,pgn,late_11_16+capture_available,2,80,d3d8
validation_0326,2rr1k2/pp3p1p/5QpP/4p3/b3P2P/1NPq4/PP2N1B1/1K1n1R2 w - -,training/data/samples/lichess_validation_250k.csv,validation_sample,high_material_24_32+in_check,,,
validation_0183,8/1b5p/1p3pp1/p1k5/5P2/P2K2P1/1PN4P/8 w - -,training/data/samples/lichess_validation_250k.csv,validation_sample,late_11_16+quiet,,,
pgn_nn_vs_stockfish_2000_g5_p24,r2qk2r/pp3pp1/2npbb1p/3p4/3P4/2PB1N2/PP3PPP/R1BQR1K1 b kq - 0 12,/home/rohanhs568/code/aichessathon-starter/nn_vs_stockfish_2000.pgn,pgn,high_material_24_32+capture_available,5,24,d8d7
pgn_nn_vs_material_g5_p10,rnbqkbr1/pppppppp/7n/8/3PP3/2N2N1P/PPP2PP1/R1BQKB1R b KQq - 0 5,/home/rohanhs568/code/aichessathon-starter/nn_vs_material.pgn,pgn,high_material_24_32+quiet,5,10,g8h8
pgn_v1_1_vs_v1_g22_p1,8/2R5/4k1p1/p4r2/2K2P1p/P5PP/8/8 w - - 0 1,/home/rohanhs568/code/aichessathon-starter/v1_1_vs_v1.pgn,pgn,late_11_16+capture_available,22,1,c7c6
validation_0303,2rr2k1/4ppbp/pn1q2p1/1pN5/3PP3/2P2Q1P/P1RB1PP1/2R3K1 b - -,training/data/samples/lichess_validation_250k.csv,validation_sample,high_material_24_32+capture_rich,,,
validation_0260,4r1k1/pp3pp1/2n2n1p/3rp3/8/2PP1N2/1P3PPP/R1BR2K1 w - -,training/data/samples/lichess_validation_250k.csv,validation_sample,middle_17_23+capture_available,,,
validation_0214,1n3rk1/r4p2/p3p1P1/1p2P1N1/1b1p1B1P/5P2/PP4K1/2R4R b - -,training/data/samples/lichess_validation_250k.csv,validation_sample,middle_17_23+capture_available,,,
validation_0236,6k1/1b6/1ppnqn2/p2pNp2/P2P1P1p/4PN1B/1PQ4P/7K w - -,training/data/samples/lichess_validation_250k.csv,validation_sample,middle_17_23+capture_rich,,,
pgn_nn_vs_stockfish_2000_g3_p87,4k3/4n3/8/7p/2PB4/b4b1P/r5PK/8 w - - 0 44,/home/rohanhs568/code/aichessathon-starter/nn_vs_stockfish_2000.pgn,pgn,late_11_16+quiet,3,87,h2g1
pgn_nn_vs_stockfish_2000_g9_p22,r1bqk2r/2pn1pbp/2p3p1/p3p1B1/P1N1P3/5N2/1PP2PPP/R2Q1RK1 b kq - 1 11,/home/rohanhs568/code/aichessathon-starter/nn_vs_stockfish_2000.pgn,pgn,high_material_24_32+capture_available,9,22,f7f6
validation_0372,r2q1rk1/ppp2ppp/3bpn2/3pnb2/3P1P2/2P1P3/PP1NB1PP/R1BQ1RK1 b - -,training/data/samples/lichess_validation_250k.csv,validation_sample,high_material_24_32+quiet,,,
pgn_v1_1_vs_v1_g14_p18,6r1/kr6/p4Bp1/2QpP1P1/8/2K1P3/P3bp2/8 b - - 4 9,/home/rohanhs568/code/aichessathon-starter/v1_1_vs_v1.pgn,pgn,late_11_16+in_check,14,18,a7a8
validation_0080,8/8/8/p3k3/2P5/2K5/8/8 b - -,training/data/samples/lichess_validation_250k.csv,validation_sample,endgame_2_10+quiet,,,
pgn_v1_1_vs_v1_g15_p8,7k/2p3b1/3p1p2/3P2pN/p3B1P1/Pn5K/1P6/8 w - - 2 5,/home/rohanhs568/code/aichessathon-starter/v1_1_vs_v1.pgn,pgn,late_11_16+capture_available,15,8,e4c2
pgn_nn_vs_stockfish_2000_g4_p28,r1b2rk1/pp3ppp/1qn1p3/3p2N1/2P2B2/1Q2P3/PP1KB1PP/5R1n b - - 0 14,/home/rohanhs568/code/aichessathon-starter/nn_vs_stockfish_2000.pgn,pgn,high_material_24_32+capture_available,4,28,b6b3
validation_0163,6k1/2p2r2/2Np2p1/3n4/p5P1/2P4P/PP2RP2/2K5 b - -,training/data/samples/lichess_validation_250k.csv,validation_sample,late_11_16+capture_available,,,
pgn_v1_1_vs_v1_g19_p16,8/2k5/2n5/2K5/2N5/1P6/8/8 b - - 8 8,/home/rohanhs568/code/aichessathon-starter/v1_1_vs_v1.pgn,pgn,endgame_2_10+quiet,19,16,c6b8
validation_0292,4k3/1pR4r/pq2pb2/3p1p2/3P1P1p/1P2PN2/4Q1P1/3R2K1 b - -,training/data/samples/lichess_validation_250k.csv,validation_sample,middle_17_23+capture_rich,,,
pgn_v1_1_vs_v1_g5_p3,r1bq1rk1/ppp3p1/2n4p/2p1pp1Q/2P5/1P1BP3/PB1P1PPP/R3K2R w KQ - 2 2,/home/rohanhs568/code/aichessathon-starter/v1_1_vs_v1.pgn,pgn,high_material_24_32+capture_rich,5,3,d3b1
pgn_v1_1_vs_v1_g15_p1,5b1k/2p5/3p1pqP/3P2pN/p3p1P1/P7/1PBnQ2K/8 b - - 0 1,/home/rohanhs568/code/aichessathon-starter/v1_1_vs_v1.pgn,pgn,middle_17_23+capture_available,15,1,d2b3
validation_0162,8/5p2/p5p1/3K1p1p/5P1P/Pk4P1/1P6/8 w - -,training/data/samples/lichess_validation_250k.csv,validation_sample,late_11_16+quiet,,,
suite_0046,8/p3R3/6kp/6p1/3p2P1/3r3P/P5K1/8 w - - 0 1,training/data/test_fens_60.txt,fen_suite,late_11_16+capture_available,,,
suite_0038,5k2/1R2Rp1p/5rp1/p7/4PP2/4r1P1/7P/5K2 b - - 0 1,training/data/test_fens_60.txt,fen_suite,late_11_16+capture_available,,,
pgn_v1_1_vs_v1_g15_p76,4K3/8/2Bp4/3P4/5b2/4k3/6p1/q7 w - - 0 39,/home/rohanhs568/code/aichessathon-starter/v1_1_vs_v1.pgn,pgn,endgame_2_10+quiet,15,76,e8f7
validation_0275,r3k1r1/pp5p/4b3/2Bnp1p1/4N1n1/P2B4/1PP2P1P/2KR3R b q -,training/data/samples/lichess_validation_250k.csv,validation_sample,middle_17_23+capture_available,,,
suite_0008,r3r1k1/pp1q1pb1/2p3p1/3pBb1p/3P4/2N5/PPPQ1PPP/R3R1K1 w - - 0 1,training/data/test_fens_60.txt,fen_suite,high_material_24_32+capture_available,,,
pgn_v1_1_vs_v1_g7_p11,4k2r/5ppp/rpb1pn2/p2p4/2PP4/B3P1P1/P4PBP/R4RK1 w k - 2 6,/home/rohanhs568/code/aichessathon-starter/v1_1_vs_v1.pgn,pgn,high_material_24_32+capture_available,7,11,f1c1
pgn_nn_vs_material_g13_p43,r1bq3r/p2pk1bN/1p1R2pn/1pn1P1p1/5Q2/7P/PPP2PP1/1K3B1R w - - 0 22,/home/rohanhs568/code/aichessathon-starter/nn_vs_material.pgn,pgn,high_material_24_32+capture_rich,13,43,f4g5
pgn_nn_vs_material_g4_p81,1k6/8/1pb1r3/6KP/8/N1P1n2P/PP2P1r1/R7 w - - 1 41,/home/rohanhs568/code/aichessathon-starter/nn_vs_material.pgn,pgn,late_11_16+in_check,4,81,g5f4
validation_0390,r1b5/pp1knp1p/3bP3/q3Q3/5B2/2N2N2/PnP2PPP/R3KB1R b KQ -,training/data/samples/lichess_validation_250k.csv,validation_sample,high_material_24_32+in_check,,,
validation_0211,6k1/1pp3b1/p2p3p/P2P4/4QP1q/2P3p1/1P6/R5K1 b - -,training/data/samples/lichess_validation_250k.csv,validation_sample,middle_17_23+capture_available,,,
validation_0106,8/8/5rk1/PQ2p3/3q2p1/2p3P1/5P1P/5RK1 w - -,training/data/samples/lichess_validation_250k.csv,validation_sample,late_11_16+capture_available,,,
validation_0266,3Rr1k1/pp3pp1/7p/2p5/4p3/1PP3P1/P4P1P/4N1K1 b - -,training/data/samples/lichess_validation_250k.csv,validation_sample,middle_17_23+capture_available,,,
suite_0048,6k1/3R4/7p/8/3p2PK/5r2/8/8 w - - 0 1,training/data/test_fens_60.txt,fen_suite,endgame_2_10+capture_available,,,
validation_0295,6k1/5rr1/3p2p1/pNpPp3/PnP1P2q/5RR1/7P/3Q1K2 b - -,training/data/samples/lichess_validation_250k.csv,validation_sample,middle_17_23+capture_rich,,,
validation_0359,rn2k2r/p1pp2pp/1p2p3/4P3/2PPn3/P1P3P1/7P/R1BK2NR w kq -,training/data/samples/lichess_validation_250k.csv,validation_sample,high_material_24_32+quiet,,,
validation_0285,r5r1/pp5k/7p/2bb4/3N1PP1/1PP5/P4NP1/3RR1K1 b - -,training/data/samples/lichess_validation_250k.csv,validation_sample,middle_17_23+capture_rich,,,
pgn_nn_vs_material_g14_p49,3rr3/Bkp2p1R/1pb5/8/1n5P/N7/PPP1P2P/R3K3 w - - 1 25,/home/rohanhs568/code/aichessathon-starter/nn_vs_material.pgn,pgn,middle_17_23+capture_available,14,49,c2c3
validation_0294,2r1r3/1p2bk2/p4p1p/3b2p1/1P1P3P/P3BN2/5PP1/2R1R1K1 w - -,training/data/samples/lichess_validation_250k.csv,validation_sample,middle_17_23+capture_rich,,,
pgn_v1_1_vs_v1_g2_p73,8/5p2/5k2/5r2/8/Rb6/6P1/6K1 b - - 3 37,/home/rohanhs568/code/aichessathon-starter/v1_1_vs_v1.pgn,pgn,endgame_2_10+quiet,2,73,b3c4
validation_0219,6r1/1p1bn1rp/p4p1k/3p4/3Pp2p/1NP1R3/PP3PPK/5BR1 b - -,training/data/samples/lichess_validation_250k.csv,validation_sample,middle_17_23+capture_available,,,
pgn_v1_1_vs_v1_g19_p45,1k6/4n3/8/2K5/1PN5/8/8/8 w - - 17 23,/home/rohanhs568/code/aichessathon-starter/v1_1_vs_v1.pgn,pgn,endgame_2_10+quiet,19,45,b4b5
validation_0029,8/8/8/p1R5/7p/4k2K/r7/8 b - -,training/data/samples/lichess_validation_250k.csv,validation_sample,endgame_2_10+quiet,,,
pgn_v1_1_vs_v1_g2_p12,2r1r2k/pb1n1pp1/8/1Np2Bq1/3p4/1P2P3/PBQ2PPb/3R1R1K w - - 0 7,/home/rohanhs568/code/aichessathon-starter/v1_1_vs_v1.pgn,pgn,high_material_24_32+capture_rich,2,12,f2f3
pgn_nn_vs_stockfish_2000_g2_p162,8/8/3k1P2/7K/8/6r1/5R2/8 b - - 0 81,/home/rohanhs568/code/aichessathon-starter/nn_vs_stockfish_2000.pgn,pgn,endgame_2_10+quiet,2,162,d6e6
pgn_nn_vs_material_g20_p23,2kr3r/ppp2ppp/2n5/2bp1b2/4p1nq/7N/PPPPPPPP/RNBQKB1R w KQ - 8 12,/home/rohanhs568/code/aichessathon-starter/nn_vs_material.pgn,pgn,high_material_24_32+quiet,20,23,g2g3
pgn_nn_vs_material_g6_p41,2kr2r1/ppp2pp1/5q2/3n1b1p/4P1n1/6P1/PPPQP2P/R3KB1R w KQ - 1 21,/home/rohanhs568/code/aichessathon-starter/nn_vs_material.pgn,pgn,high_material_24_32+capture_available,6,41,e4f5
suite_0014,r4rk1/1bp1q1pp/1p2p3/p2pPp2/P3nP2/1P1BP2R/1BP1Q1PP/R5K1 b - - 0 1,training/data/test_fens_60.txt,fen_suite,high_material_24_32+quiet,,,
suite_0036,3qk2r/3rbppp/p1p2n2/8/3p4/4B3/PPP1QPPP/RN1R2K1 w k - 0 1,training/data/test_fens_60.txt,fen_suite,high_material_24_32+capture_available,,,
pgn_v1_1_vs_v1_g11_p9,8/1b4k1/p2p4/Pp1P2p1/1P1rB3/1R4KP/8/8 w - - 5 5,/home/rohanhs568/code/aichessathon-starter/v1_1_vs_v1.pgn,pgn,late_11_16+quiet,11,9,e4b1
pgn_nn_vs_material_g1_p32,rnbqkbnr/pppPp1pp/8/1Q4B1/2B3P1/2N2N1P/PPP2P2/2KR3R b q - 0 16,/home/rohanhs568/code/aichessathon-starter/nn_vs_material.pgn,pgn,high_material_24_32+in_check,1,32,b8d7
pgn_nn_vs_material_g15_p16,rnbqkb1r/pppppppp/7n/1N1P4/4P3/5N1P/PPP1QPP1/R1B1KB1R b KQq - 2 8,/home/rohanhs568/code/aichessathon-starter/nn_vs_material.pgn,pgn,high_material_24_32+quiet,15,16,h8g8
validation_0194,5k2/R4p1p/6p1/pr6/7P/5PK1/6P1/8 b - -,training/data/samples/lichess_validation_250k.csv,validation_sample,late_11_16+quiet,,,
validation_0093,R7/7k/8/pr2B1p1/8/8/5P2/5K2 w - -,training/data/samples/lichess_validation_250k.csv,validation_sample,endgame_2_10+capture_available,,,
validation_0221,rq3k1r/p1pQ1pp1/6b1/6Pp/5n1P/2P2P2/P1P5/2KR1BNR w - -,training/data/samples/lichess_validation_250k.csv,validation_sample,middle_17_23+capture_available,,,
validation_0272,4k2r/p4pRp/bp2pn2/2p1N3/1N1r4/P3KP2/1P5P/R7 b k -,training/data/samples/lichess_validation_250k.csv,validation_sample,middle_17_23+capture_available,,,
validation_0215,r1b2rk1/5pp1/1pp4p/p3p3/P1B1n3/4PN1P/1PP3P1/3RK1R1 b - -,training/data/samples/lichess_validation_250k.csv,validation_sample,middle_17_23+capture_available,,,
